rok;chrzest;slub;zgon
1878;62;2;44
1879;77;14;38
1880;79;14;60
1881;;;
1882;86;17;52
1883;78;10;55
1884;57;13;39
1885;75;17;41
1886;87;24;54
1887;84;22;63
1888;;;
1889;92;22;67
1890;90;13;59
1891;108;17;76
1892;93;17;50
1893;99;21;43
1894;117;19;118
1895;131;26;42
1896;101;22;46
1897;120;21;67
1898;104;10;46
1899;126;17;44
1900;108;14;119
1901;137;25;47
1902;130;19;60
1903;124;22;72
1904;;;
1905;;;
1906;143;31;80
1907;132;14;78
1908;153;11;65
1909;140;23;57
1910;146;22;73
1911;139;26;68
1912;161;26;92
1913;124;28;53
1914;;;
1915;;;
1916;;;
1917;;;
1918;22;2;16
1919;60;59;48
1920;64;20;49
1921;56;23;64
1922;98;45;60
1923;112;63;44
1924;135;48;68
1925;152;34;56
1926;138;29;47
1927;158;31;61
1928;145;38;61
1929;152;33;48
1930;146;37;63
1931;117;21;36
1932;125;30;43
1933;73;34;41
1934;101;36;44
1935;98;23;39
1936;88;21;35
1937;61;26;34
1938;60;20;40
1939;76;21;46
1940;89;21;49
1941;104;20;43
1942;64;17;26
1943;46;15;39
1944;43;5;33
1945;45;17;31
1946;;;
1947;41;21;15
1948;42;10;12
1949;23;10;14
1950;21;5;11
1951;40;15;16
1952;32;12;23
1953;36;9;11
1954;40;12;26
1955;42;15;12
1956;46;7;25
1957;45;8;28
1958;37;18;13
1959;40;7;17
1960;31;10;14
1961;37;11;22
1962;40;6;24
1963;34;7;18
1964;23;10;18
1965;31;3;20
1966;20;8;20
1967;26;7;9
1968;24;9;21
1969;27;12;18
1970;27;7;23
1971;20;7;17
1972;18;7;13
1973;23;6;30
1974;31;9;19
1975;19;3;10
1976;24;4;20
1977;31;5;24
1978;24;4;25
1979;22;5;31
1980;14;6;38
1981;20;5;17
1982;24;13;25
1983;25;3;32
1984;19;5;33
1985;20;2;30
1986;16;8;20
1987;10;5;29
1988;13;5;16
1989;13;4;37
1990;12;7;37
1991;20;8;30
1992;12;8;31
1993;18;2;36
1994;10;7;36
1995;10;8;44
1996;8;8;35
1997;16;4;29
1998;7;4;39
1999;9;4;23
2000;8;4;26
2001;5;7;45
2002;12;1;38
2003;5;8;31
2004;9;2;37
2005;10;4;22
2006;8;3;19
2007;7;8;29
2008;13;3;32
2009;9;9;26
2010;7;3;22
2011;4;1;18
2012;11;2;24
